Frame_Idx,Hips-T_X,Hips-T_Z,Hips-T_Y,Hips-R_X,Hips-R_Z,Hips-R_Y,RUL-T_X,RUL-T_Z,RUL-T_Y,RUL-R_X,RUL-R_Z,RUL-R_Y,RK-T_X,RK-T_Z,RK-T_Y,RK-R_X,RK-R_Z,RK-R_Y,RF-T_X,RF-T_Z,RF-T_Y,RF-R_X,RF-R_Z,RF-R_Y,LUL-T_X,LUL-T_Z,LUL-T_Y,LUL-R_X,LUL-R_Z,LUL-R_Y,LK-T_X,LK-T_Z,LK-T_Y,LK-R_X,LK-R_Z,LK-R_Y,LF-T_X,LF-T_Z,LF-T_Y,LF-R_X,LF-R_Z,LF-R_Y
0,-95.73712921142578,75.71895599365234,3.8441832065582275,10.742894172668457,6.901410102844238,136.21270751953125,-10.248373031616211,-1.466996431350708,0.006813065614551306,-23.632593154907227,-3.7598023414611816,11.432985305786133,0.02203897014260292,-37.963356018066406,0.04610031470656395,49.74351119995117,13.741901397705078,-22.246152877807617,-0.03204897791147232,-35.193782806396484,-0.1889699101448059,-9.963306427001953,7.7501935958862305,-8.16299819946289,10.264609336853027,-1.4795180559158325,0.04327011853456497,-25.275489807128906,-1.647321105003357,-2.3796732425689697,0.04516046494245529,-37.96546936035156,0.03435211628675461,53.912986755371094,-13.058758735656738,3.4987452030181885,0.4417325258255005,-37.053245544433594,0.19390694797039032,-7.365420818328857,1.829446792602539,-11.61923599243164
0,-95.73712921142578,75.71895599365234,3.8441832065582275,10.742894172668457,6.901410102844238,136.21270751953125,-10.248373031616211,-1.466996431350708,0.006813065614551306,-23.632593154907227,-3.7598023414611816,11.432985305786133,0.02203897014260292,-37.963356018066406,0.04610031470656395,49.74351119995117,13.741901397705078,-22.246152877807617,-0.03204897791147232,-35.193782806396484,-0.1889699101448059,-9.963306427001953,7.7501935958862305,-8.16299819946289,10.264609336853027,-1.4795180559158325,0.04327011853456497,-25.275489807128906,-1.647321105003357,-2.3796732425689697,0.04516046494245529,-37.96546936035156,0.03435211628675461,53.912986755371094,-13.058758735656738,3.4987452030181885,0.4417325258255005,-37.053245544433594,0.19390694797039032,-7.365420818328857,1.829446792602539,-11.61923599243164
0,-95.73712921142578,75.71895599365234,3.8441832065582275,10.742894172668457,6.901410102844238,136.21270751953125,-10.248373031616211,-1.466996431350708,0.006813065614551306,-23.632593154907227,-3.7598023414611816,11.432985305786133,0.02203897014260292,-37.963356018066406,0.04610031470656395,49.74351119995117,13.741901397705078,-22.246152877807617,-0.03204897791147232,-35.193782806396484,-0.1889699101448059,-9.963306427001953,7.7501935958862305,-8.16299819946289,10.264609336853027,-1.4795180559158325,0.04327011853456497,-25.275489807128906,-1.647321105003357,-2.3796732425689697,0.04516046494245529,-37.96546936035156,0.03435211628675461,53.912986755371094,-13.058758735656738,3.4987452030181885,0.4417325258255005,-37.053245544433594,0.19390694797039032,-7.365420818328857,1.829446792602539,-11.61923599243164
0,-95.73712921142578,75.71895599365234,3.8441832065582275,10.742894172668457,6.901410102844238,136.21270751953125,-10.248373031616211,-1.466996431350708,0.006813065614551306,-23.632593154907227,-3.7598023414611816,11.432985305786133,0.02203897014260292,-37.963356018066406,0.04610031470656395,49.74351119995117,13.741901397705078,-22.246152877807617,-0.03204897791147232,-35.193782806396484,-0.1889699101448059,-9.963306427001953,7.7501935958862305,-8.16299819946289,10.264609336853027,-1.4795180559158325,0.04327011853456497,-25.275489807128906,-1.647321105003357,-2.3796732425689697,0.04516046494245529,-37.96546936035156,0.03435211628675461,53.912986755371094,-13.058758735656738,3.4987452030181885,0.4417325258255005,-37.053245544433594,0.19390694797039032,-7.365420818328857,1.829446792602539,-11.61923599243164
1,-95.73638153076172,75.7208023071289,3.846038579940796,10.742894172668457,6.901410102844238,136.21270751953125,-10.24854564666748,-1.4678986072540283,0.006396804936230183,-23.632593154907227,-3.7598023414611816,11.432985305786133,0.023076945915818214,-37.964088439941406,0.045476846396923065,49.74351119995117,13.741901397705078,-22.246152877807617,-0.03052859753370285,-35.193328857421875,-0.18841871619224548,-9.963306427001953,7.7501935958862305,-8.16299819946289,10.266300201416016,-1.479819893836975,0.04034757614135742,-25.275489807128906,-1.647321105003357,-2.3796732425689697,0.04590781033039093,-37.96674346923828,0.03323686495423317,53.912986755371094,-13.058758735656738,3.4987452030181885,0.43987590074539185,-37.051692962646484,0.19737495481967926,-7.365420818328857,1.829446792602539,-11.61923599243164
2,-95.736083984375,75.72215270996094,3.8489930629730225,10.742894172668457,6.901410102844238,136.21270751953125,-10.249103546142578,-1.4679672718048096,0.0075907278805971146,-23.626995086669922,-3.7514665126800537,11.446739196777344,0.024278676137328148,-37.96604537963867,0.04852559417486191,49.743125915527344,13.736148834228516,-22.240211486816406,-0.02818440832197666,-35.198219299316406,-0.1891455203294754,-9.991101264953613,7.744330406188965,-8.167619705200195,10.26315975189209,-1.4764418601989746,0.044986139982938766,-25.24787712097168,-1.6319363117218018,-2.354825496673584,0.05151388421654701,-37.9649772644043,0.036376215517520905,53.87390899658203,-13.07898235321045,3.515151023864746,0.45447638630867004,-37.05720138549805,0.19309090077877045,-7.396225929260254,1.8125807046890259,-11.659246444702148
3,-95.73660278320312,75.72139739990234,3.851405620574951,10.742894172668457,6.901410102844238,136.21270751953125,-10.25246810913086,-1.4688507318496704,0.006164852064102888,-23.62955093383789,-3.740476608276367,11.45304012298584,0.01773839257657528,-37.966697692871094,0.04530017077922821,49.743045806884766,13.7400541305542,-22.238290786743164,-0.0211953017860651,-35.19561004638672,-0.1875031292438507,-10.000136375427246,7.726761817932129,-8.205496788024902,10.263134956359863,-1.4763833284378052,0.04332175478339195,-25.24254608154297,-1.6251627206802368,-2.3512990474700928,0.05080930516123772,-37.96438217163086,0.03513805568218231,53.86201477050781,-13.083599090576172,3.521921396255493,0.45277392864227295,-37.05537033081055,0.19298428297042847,-7.405846118927002,1.8065710067749023,-11.666519165039062
4,-95.73707580566406,75.71945190429688,3.854095458984375,10.742894172668457,6.901410102844238,136.21270751953125,-10.247788429260254,-1.469415307044983,0.006964914035052061,-23.626079559326172,-3.747276544570923,11.446144104003906,0.02560332976281643,-37.9671516418457,0.047972433269023895,49.74193572998047,13.730291366577148,-22.230510711669922,-0.0225501861423254,-35.196109771728516,-0.18866564333438873,-10.019017219543457,7.731318950653076,-8.197824478149414,10.264978408813477,-1.4770053625106812,0.04010353237390518,-25.24254608154297,-1.6251627206802368,-2.3512990474700928,0.05468462035059929,-37.96281051635742,0.030786987394094467,53.856510162353516,-13.097740173339844,3.5305213928222656,0.45527851581573486,-37.05194091796875,0.19622428715229034,-7.415652275085449,1.8106577396392822,-11.6681489944458
5,-95.73926544189453,75.71859741210938,3.854452133178711,10.742894172668457,6.901410102844238,136.21270751953125,-10.249987602233887,-1.4692736864089966,0.008149420842528343,-23.620187759399414,-3.740232467651367,11.448678016662598,0.02082185260951519,-37.96776580810547,0.04803229123353958,49.73467254638672,13.730226516723633,-22.23176383972168,-0.023600265383720398,-35.197662353515625,-0.1898842751979828,-10.0409574508667,7.722978591918945,-8.19720458984375,10.267136573791504,-1.477685809135437,0.0371682271361351,-25.24254608154297,-1.6251627206802368,-2.3512990474700928,0.05543533340096474,-37.96052169799805,0.0266112070530653,53.84961700439453,-13.102121353149414,3.547011137008667,0.4518769681453705,-37.05103302001953,0.19856008887290955,-7.424418926239014,1.8116854429244995,-11.680940628051758
6,-95.74041748046875,75.71834564208984,3.855947494506836,10.7366361618042,6.893760681152344,136.21388244628906,-10.250085830688477,-1.4689184427261353,0.009658831171691418,-23.62211036682129,-3.742424249649048,11.449834823608398,0.022883690893650055,-37.96794891357422,0.050180014222860336,49.726402282714844,13.72590446472168,-22.235368728637695,-0.016107771545648575,-35.19725036621094,-0.1887342780828476,-10.051865577697754,7.7173967361450195,-8.21751880645752,10.26860237121582,-1.4786430597305298,0.03509438410401344,-25.252288818359375,-1.6270920038223267,-2.3525230884552,0.058754194527864456,-37.9613151550293,0.024190396070480347,53.84593963623047,-13.11340045928955,3.5557072162628174,0.4542076587677002,-37.04997634887695,0.1998879313468933,-7.434632778167725,1.8144540786743164,-11.691661834716797
